date,capacity,turnover,open,high,low,close,change,transaction
2023-05-12,72076682,7398358087,103.5,104.0,102.0,102.5,-2.5,35447
2023-05-15,28337659,2894073030,102.5,103.0,102.0,102.0,-0.5,18204
2023-05-16,42174115,4319139417,102.5,103.0,102.0,102.0,0.0,20186
2023-05-17,38916253,3990558925,102.0,103.0,102.0,102.5,0.5,19396
2023-05-18,27750265,2859066325,103.0,103.5,102.5,103.0,0.5,11029
2023-05-19,33713208,3461854482,103.0,103.0,102.0,103.0,0.0,12566
2023-05-22,18170383,1866853138,102.5,103.0,102.5,103.0,0.0,9157
2023-05-23,22258821,2285492765,103.0,103.0,102.5,102.5,-0.5,10188
2023-05-24,16034234,1647545401,102.5,103.0,102.5,103.0,0.5,9002
2023-05-25,26400866,2710347354,102.5,103.5,102.5,102.5,-0.5,13709
2023-05-26,36602590,3748110490,102.5,103.0,102.0,102.5,0.0,17727
2023-05-29,79007460,8268281823,103.5,106.0,103.0,105.5,3.0,28339
2023-05-30,88779354,9504107532,106.5,108.0,106.0,107.0,1.5,41319
2023-05-31,59443196,6330618253,107.5,107.5,105.5,106.5,-0.5,19843
2023-06-01,46558650,4996062921,106.5,108.0,106.0,108.0,1.5,19267
2023-06-02,53924446,5829505836,108.5,109.0,107.5,108.0,0.0,21889
2023-06-05,24624081,2653815411,108.5,108.5,107.0,107.5,-0.5,12713
2023-06-06,36383280,3882385473,107.0,107.5,106.0,107.0,-0.5,13826
2023-06-07,22459238,2417445504,107.5,108.0,107.0,108.0,1.0,9840
2023-06-08,17392265,1866463325,108.0,108.0,107.0,107.0,-1.0,9944
2023-06-09,16744580,1803462864,107.5,108.0,107.0,108.0,1.0,8347
2023-06-12,98652902,10866249777,108.0,112.0,107.5,110.5,2.5,40913
2023-06-13,70173913,7888170176,111.0,113.0,111.0,112.5,2.0,34877
2023-06-14,36488322,4102517677,112.5,113.0,111.5,112.5,0.0,17554
2023-06-15,35696946,3986611487,112.5,113.0,111.0,111.5,-1.0,18814
2023-06-16,47565732,5306261172,111.5,112.5,111.0,111.0,-0.5,16319
2023-06-19,25243032,2832301801,111.5,113.0,111.0,112.5,1.5,12614
